ID,RMSE,MAE,MAX
RW17,162.39554617866762,132.5481805582162,640.7713516347826
RW18,162.1487873056758,131.28425368142604,577.0465059512912
RW19,158.03425452964913,126.80126832520368,584.435178631002
RW20,166.1422854164581,135.87844758395207,582.608153843593
