ID,Accuracy (RMSE),Stability (Std),Robustness (Max),Physics Fidelity,Efficiency (ms)
RW17,183.5674675100611,179.76506096127125,564.8428160981904,122.46633563213071,7.425348972347783
RW18,195.29610243527083,178.10935335713845,582.6796887255425,117.78334453506588,3.6658640953423918
RW19,194.59531685221717,172.50484151688227,639.1851724136162,114.95371846963994,3.520383192058561
RW20,183.38214308424736,180.29444705905993,609.7055674146575,122.72917771006331,3.4667230485688294
